racedate,tvgtrackcode,race,bettinginterestnumber,horsename,morninglineodds,currentodds,winpayout
2020-06-06,bel,5,3,dark money,9/2,6,14
2020-06-06,bel,6,5,instilled regard,7/2,2,6.4
2020-06-06,bel,7,9,code of honor,6/5,6/5,4.5
2020-06-06,bel,8,5,newspaperofrecord (ire),3,6/5,4.7
2020-06-06,bel,9,11,vekoma,7/2,8/5,5.3
2020-06-06,bel,10,10,thorny tale,12,8,19
2020-06-06,bel,11,6,lonesome fugitive (ire),5/2,5/2,7.9
2020-06-03,bel,10,1,in the loop,9/5,6/5,4.6
2020-06-03,bel,4,3,business cycle,7/2,3,8.3
2020-06-03,bel,5,1,strongerthanuknow,5/2,9/5,5.9
2020-06-03,bel,6,3,madita (ger),7/2,7/2,9.9
2020-06-03,bel,7,10,inside info,4,3,8.8
2020-06-03,bel,8,10,value proposition (gb),7/2,9/2,11.2
2020-06-03,bel,9,1,rushing fall,6/5,4/5,3.7
2020-06-03,bel,1,4,star of the west,6,7/5,4.9
2020-06-03,bel,2,2,smile bryan,2,2,6.8
2020-06-03,bel,3,2,prisoner,2,6/5,4.7
2020-06-11,bel,1,4,ink splotz,8,6,15.2
2020-06-11,bel,2,6,stage left,4,5/2,7.7
2020-06-11,bel,3,1,ventus,9/2,8/5,5.3
2020-06-11,bel,3,1,luxury suite,9/2,8/5,5.3
2020-06-11,bel,4,8,creed,3,5/2,7.6
2020-06-11,bel,5,3,alandra,9/2,9/5,5.6
2020-06-11,bel,6,2,factoring,8,10,22.6
2020-06-11,bel,7,5,our last buck,7/2,5,12.6
2020-06-11,bel,8,4,value engineering,5/2,3,8.3
2020-06-11,bel,9,3,moretti,8,4,10.4
2020-06-11,bel,10,12,wild north,8,5,13.2
